id,nama_kawasan,kecamatan,jumlah_pkl,latitude,longitude,status_akses,alasan
132,Trotoar Ruko Tandes,Tandes,33,-7.265661,112.703465,Dekat Pasar,"Berjarak sekitar 0.73 km dari Pasar Simo Hilir (<=3 km), termasuk zona layanan pasar tradisional."
133,Sentra PKL Balai RW Sukomanunggal,Sukomanunggal,10,-7.272928,112.688163,Dekat Pasar,"Berjarak sekitar 0.58 km dari Pasar Permai (<=3 km), termasuk zona layanan pasar tradisional."
134,Kawasan GOR Pakal,Pakal,13,-7.268841,112.60939,Blank Spot,"Berjarak sekitar 3.53 km dari Pasar Kendung, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
135,Kawasan Perempatan Pabean Cantian,Pabean Cantian,29,-7.208114,112.711225,Blank Spot,"Berjarak sekitar 3.48 km dari Pasar Bangun Rejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
136,Lingkungan Pasar Lama Wonokromo,Wonokromo,40,-7.304235,112.747591,Dekat Pasar,"Berjarak sekitar 0.56 km dari Pasar Jagir (<=3 km), termasuk zona layanan pasar tradisional."
137,Trotoar Perumahan Simokerto,Simokerto,17,-7.227558,112.749004,Dekat Pasar,"Berjarak sekitar 0.39 km dari Pasar Pegirian (<=3 km), termasuk zona layanan pasar tradisional."
138,Area Balai RW Sambikerep,Sambikerep,25,-7.272029,112.675683,Dekat Pasar,"Berjarak sekitar 0.83 km dari Pasar Dorowati (<=3 km), termasuk zona layanan pasar tradisional."
139,Sekitar Balai RW Gunung Anyar,Gunung Anyar,32,-7.342914,112.785408,Dekat Pasar,"Berjarak sekitar 2.10 km dari Pasar Pahing (<=3 km), termasuk zona layanan pasar tradisional."
140,Sekitar Balai RW Asemrowo,Asemrowo,54,-7.229415,112.68323,Blank Spot,"Berjarak sekitar 3.35 km dari Pasar Surya Balongsari, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
141,Area Jembatan Layang Pabean Cantian,Pabean Cantian,10,-7.190718,112.733079,Blank Spot,"Berjarak sekitar 4.18 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
142,Zona Kuliner Jembatan Layang Tambaksari,Tambaksari,42,-7.23629,112.767003,Dekat Pasar,"Berjarak sekitar 0.46 km dari Pasar Pogot (<=3 km), termasuk zona layanan pasar tradisional."
143,Zona Kuliner Stasiun Gayungan,Gayungan,42,-7.330594,112.729848,Dekat Pasar,"Berjarak sekitar 0.57 km dari Pasar Siwalankerto (<=3 km), termasuk zona layanan pasar tradisional."
144,Bahu Jalan Alun-Alun Asemrowo,Asemrowo,29,-7.219655,112.682176,Blank Spot,"Berjarak sekitar 3.01 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
145,Sentra PKL Simpang Jalan Sukolilo,Sukolilo,31,-7.285363,112.805693,Blank Spot,"Berjarak sekitar 3.27 km dari Pasar Sutorejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
146,Zona Kuliner Depan Sekolah Pakal,Pakal,15,-7.262847,112.603401,Blank Spot,"Berjarak sekitar 3.24 km dari Pasar Tradisional Benowo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
147,Zona Kuliner Ruko Pabean Cantian,Pabean Cantian,30,-7.210807,112.709128,Blank Spot,"Berjarak sekitar 3.25 km dari Pasar Bangun Rejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
148,Sentra PKL Pasar Lama Sukomanunggal,Sukomanunggal,24,-7.271519,112.708247,Dekat Pasar,"Berjarak sekitar 0.21 km dari Pasar Simo Hilir (<=3 km), termasuk zona layanan pasar tradisional."
149,Sentra PKL GOR Bubutan,Bubutan,58,-7.250587,112.736802,Dekat Pasar,"Berjarak sekitar 0.28 km dari Pasar Kepatihan (<=3 km), termasuk zona layanan pasar tradisional."
150,Kawasan Jembatan Layang Tandes,Tandes,39,-7.252578,112.707329,Dekat Pasar,"Berjarak sekitar 0.78 km dari Pasar Buah Tradisional (<=3 km), termasuk zona layanan pasar tradisional."
151,Trotoar Simpang Jalan Pakal,Pakal,21,-7.190541,112.650217,Dekat Pasar,"Berjarak sekitar 1.85 km dari Tempat Pelelangan Ikan (<=3 km), termasuk zona layanan pasar tradisional."
152,Sentra PKL Terminal Asemrowo,Asemrowo,5,-7.213003,112.694355,Blank Spot,"Berjarak sekitar 3.63 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
153,Zona Kuliner Pertokoan Bubutan,Bubutan,36,-7.247968,112.718791,Dekat Pasar,"Berjarak sekitar 0.51 km dari Pasar Dupak Baru (<=3 km), termasuk zona layanan pasar tradisional."
154,Sekitar Balai RW Tambaksari,Tambaksari,60,-7.237949,112.769945,Dekat Pasar,"Berjarak sekitar 0.61 km dari Pasar Rabardjo (<=3 km), termasuk zona layanan pasar tradisional."
155,Sekitar Ruko Tenggilis Mejoyo,Tenggilis Mejoyo,32,-7.327106,112.77063,Dekat Pasar,"Berjarak sekitar 0.39 km dari Pasar Pahing (<=3 km), termasuk zona layanan pasar tradisional."
156,Kawasan Balai RW Sawahan,Sawahan,51,-7.283849,112.738629,Dekat Pasar,"Berjarak sekitar 0.57 km dari Pasar Dinoyo Tangsi (<=3 km), termasuk zona layanan pasar tradisional."
157,Zona Kuliner Perumahan Genteng,Genteng,18,-7.251362,112.747476,Dekat Pasar,"Berjarak sekitar 0.47 km dari Pasar Pecindilan (<=3 km), termasuk zona layanan pasar tradisional."
158,Trotoar Taman Kota Benowo,Benowo,23,-7.278991,112.60838,Blank Spot,"Berjarak sekitar 3.66 km dari Pasar Surya Lakarsantri, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
159,Lingkungan Simpang Jalan Pabean Cantian,Pabean Cantian,49,-7.189513,112.714272,Blank Spot,"Berjarak sekitar 4.90 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
160,Bahu Jalan GOR Bubutan,Bubutan,60,-7.255494,112.71849,Dekat Pasar,"Berjarak sekitar 0.48 km dari Pasar Asemrowo (<=3 km), termasuk zona layanan pasar tradisional."
161,Lingkungan Terminal Pakal,Pakal,48,-7.20368,112.626048,Blank Spot,"Berjarak sekitar 3.23 km dari Pasar Induk Oso Wilangon, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
162,Area Perempatan Asemrowo,Asemrowo,60,-7.225881,112.685937,Blank Spot,"Berjarak sekitar 3.74 km dari Pasar Buah Tradisional, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
163,Sekitar Perumahan Gubeng,Gubeng,32,-7.279261,112.750616,Dekat Pasar,"Berjarak sekitar 0.61 km dari Pasar Pucang Anom (<=3 km), termasuk zona layanan pasar tradisional."
164,Sekitar Pasar Lama Tandes,Tandes,34,-7.255856,112.700074,Dekat Pasar,"Berjarak sekitar 0.12 km dari Pasar Buah Tradisional (<=3 km), termasuk zona layanan pasar tradisional."
165,Lingkungan Stasiun Pakal,Pakal,50,-7.204028,112.616434,Blank Spot,"Berjarak sekitar 3.43 km dari Pasar Tradisional Benowo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
166,Sekitar Depan Sekolah Sukolilo,Sukolilo,59,-7.301828,112.810207,Blank Spot,"Berjarak sekitar 3.41 km dari Pasar Semolowaru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
167,Kawasan Depan Sekolah Sukolilo,Sukolilo,12,-7.282792,112.81034,Blank Spot,"Berjarak sekitar 3.31 km dari Pasar Sutorejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
168,Kawasan Simpang Jalan Tandes,Tandes,30,-7.262286,112.70355,Dekat Pasar,"Berjarak sekitar 0.73 km dari Pasar Buah Tradisional (<=3 km), termasuk zona layanan pasar tradisional."
169,Bahu Jalan GOR Mulyorejo,Mulyorejo,5,-7.256073,112.816865,Dekat Pasar,"Berjarak sekitar 2.38 km dari Pasar Tradisional Tempurejo (<=3 km), termasuk zona layanan pasar tradisional."
170,Trotoar Terminal Pakal,Pakal,37,-7.194476,112.656223,Dekat Pasar,"Berjarak sekitar 1.06 km dari Tempat Pelelangan Ikan (<=3 km), termasuk zona layanan pasar tradisional."
171,Bahu Jalan GOR Wonokromo,Wonokromo,30,-7.28746,112.736551,Dekat Pasar,"Berjarak sekitar 0.74 km dari Pasar Dinoyo Tangsi (<=3 km), termasuk zona layanan pasar tradisional."
172,Sekitar Kampus Kenjeran,Kenjeran,41,-7.219843,112.778623,Dekat Pasar,"Berjarak sekitar 0.36 km dari Pasar Surya Kedinding (<=3 km), termasuk zona layanan pasar tradisional."
173,Bahu Jalan Alun-Alun Wonocolo,Wonocolo,6,-7.331731,112.75405,Dekat Pasar,"Berjarak sekitar 0.86 km dari Pasar Surya Kendangsari (<=3 km), termasuk zona layanan pasar tradisional."
174,Lingkungan Pasar Lama Asemrowo,Asemrowo,29,-7.228061,112.687782,Blank Spot,"Berjarak sekitar 3.43 km dari Pasar Buah Tradisional, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
175,Sekitar Kampus Krembangan,Krembangan,29,-7.239457,112.720214,Dekat Pasar,"Berjarak sekitar 0.34 km dari Pasar Bangun Rejo (<=3 km), termasuk zona layanan pasar tradisional."
176,Bahu Jalan Balai RW Simokerto,Simokerto,58,-7.242353,112.748132,Dekat Pasar,"Berjarak sekitar 0.37 km dari Pasar Kapasan (<=3 km), termasuk zona layanan pasar tradisional."
177,Zona Kuliner Ruko Bubutan,Bubutan,58,-7.251975,112.721614,Dekat Pasar,"Berjarak sekitar 0.69 km dari Pasar Asemrowo (<=3 km), termasuk zona layanan pasar tradisional."
178,Trotoar Kampus Tenggilis Mejoyo,Tenggilis Mejoyo,22,-7.320509,112.784207,Dekat Pasar,"Berjarak sekitar 0.14 km dari Pasar Wisata Penjaringan Sari (<=3 km), termasuk zona layanan pasar tradisional."
179,Bahu Jalan Depan Sekolah Sambikerep,Sambikerep,40,-7.289741,112.662663,Dekat Pasar,"Berjarak sekitar 2.41 km dari Fresh Market Citraland (<=3 km), termasuk zona layanan pasar tradisional."
180,Bahu Jalan Jembatan Layang Wonocolo,Wonocolo,15,-7.316359,112.740384,Dekat Pasar,"Berjarak sekitar 1.16 km dari Pasar Bendul Merisi (<=3 km), termasuk zona layanan pasar tradisional."
